-1	52.1775	-0.235915	-0.022381	4
1	316.724	0.529605	-2.06089	24
-1	260.098	-2.78599	-1.94395	25
1	10.3527	-2.46109	2.63771	3
1	541.625	1.44553	-0.111233	18
-1	26.3287	-1.79948	-0.164298	3
1	162.555	-0.261119	2.23075	14
1	341.235	2.58524	-1.29765	10
1	236.808	-2.27828	-0.0565971	17
1	540.152	-2.73798	-1.0368	8
1	579.332	2.73242	0.999885	15
-1	600.133	-0.335904	1.45726	17
1	36.4662	1.74988	-0.391638	3
-1	336.777	-1.60927	0.100856	9
-1	338.794	-0.631639	0.634311	8
1	2796.94	2.90523	0.088984	10
-1	968.301	-0.280398	1.02579	16
-1	183.71	0.904129	1.42809	5
-1	467.673	-0.959252	-1.15108	9
1	344.312	-1.66707	1.79406	12
1	3579.06	-2.46635	-0.535522	9
1	792.904	-0.882322	1.46637	10
1	241.939	2.17294	-0.903397	6
1	110.914	0.732739	0.723417	3
1	322.914	1.80706	-0.331576	6
-1	138.761	-2.83085	-1.44837	3
1	372.086	0.063806	0.468461	16
-1	164.443	-0.927291	1.49814	18
1	589.411	0.141845	1.83592	12
1	198.951	1.8264	-2.49925	9
1	143.47	-0.477344	-1.52196	20
-1	330.968	1.96605	-1.59439	4
-1	2924.11	-1.51862	0.703822	4
1	50.0986	1.05599	0.457225	4
-1	83.0162	-2.30609	1.15431	4
1	288.243	0.582164	-0.153257	16
-1	416.071	-2.67331	-0.025434	8
1	1021.31	-0.648726	-0.183374	17
1	651.524	-2.25608	-1.16041	13
-1	754.71	0.826964	-1.66278	21
1	283.682	2.21522	-0.495029	7
-1	169.577	0.582328	0.68537	7
-1	853.183	0.467606	0.19236	20
-1	368	-2.79245	1.50059	7
1	1197.18	1.07817	1.17769	9
-1	457.618	-2.13974	0.648436	13
1	2057.37	-1.62642	0.769072	9
1	226.133	-2.12949	-1.81152	28
-1	198.81	0.872136	-2.03091	11
-1	192.504	1.86089	0.714381	4
1	363.586	-0.000755343	-1.52878	6
1	536.307	-2.45946	0.406175	18
1	783.058	2.9431	1.1696	6
-1	743.165	-0.290162	1.17784	14
1	388.274	-0.912324	-1.39345	9
1	114.076	-2.39109	1.96456	16
1	218.232	-0.309457	-0.924926	13
1	613.985	-0.683424	1.694	19
1	58.1856	-0.290435	-1.92615	5
1	225.747	-1.51615	-0.135378	15
1	169.427	1.48345	-0.333598	4
1	393.857	2.80157	-2.01496	18
-1	287.011	-0.368344	0.084917	11
1	151.665	1.88171	1.85925	8
1	146.573	-2.19248	1.09968	3
1	344.924	-0.34005	-1.34499	5
-1	272.689	2.79043	-2.03701	9
-1	920.83	2.70503	-1.90568	6
-1	251.652	-0.414969	-1.00798	3
-1	107.804	-1.50227	0.0492714	4
-1	554.755	-1.94068	0.330353	9
1	751.975	-2.03079	0.0131684	19
-1	675.42	1.1465	0.546917	19
1	478.084	-2.75199	-0.891051	15
1	146.767	0.463677	-0.00356204	7
1	117.922	2.90009	1.88938	4
-1	178.468	2.14215	1.12331	9
-1	429.618	-0.615368	-1.25122	3
1	513.97	-0.0568383	-1.99422	24
1	869.785	-0.890804	1.22082	18
-1	79.4487	0.209546	-2.24678	4
1	472.626	-2.04633	-0.33005	10
1	377.607	-1.18223	1.26695	7
1	154.595	3.04709	2.51603	5
-1	203.78	-3.11828	-0.602523	3
1	548.362	-1.56881	1.72597	31
1	27.6368	-2.51962	2.52298	6
1	548.883	-0.420195	-0.943184	6
-1	228.799	2.64036	-1.12234	8
1	395.698	-1.517	-0.973502	11
1	333.89	-2.83823	-1.88513	23
1	723.381	-1.41305	-0.458581	3
1	746.078	-0.085207	-0.341703	17
