1000024	62	1	700.048	109.149	2.74254	3.07986	1189.79	0.861881	1.97195	0	0
-1000024	62	-1	700.048	134.275	-0.234468	-0.0228457	134.31	0.188422	1.01824	0	1
1000024	62	1	700.048	279.622	0.529638	-2.06105	1115.91	0.847108	1.88175	0	1
-1000024	62	-1	700.048	249.409	-2.78605	-1.94363	888.797	0.785585	1.61615	0	1
-1000024	62	-1	700.048	283.369	0.710112	-1.12127	480.965	0.566274	1.21327	0	0
1000024	62	1	700.048	306.623	2.4554	1.49432	717.605	0.715809	1.43206	0	0
-1000024	62	-1	700.048	116.069	-2.46594	2.64297	819.801	0.760465	1.53993	0	1
1000024	62	1	700.048	526.916	1.44564	-0.111461	530.192	0.603751	1.25443	0	1
-1000024	62	-1	700.048	190.837	-1.79581	-0.163677	193.399	0.26629	1.03746	0	1
1000024	62	1	700.048	109.653	-0.260483	2.2308	516.178	0.593463	1.24245	0	1
1000024	62	1	700.048	351.32	2.58531	-1.2979	691.172	0.702581	1.40528	0	1
1000024	62	1	700.048	226.133	-2.27817	-0.0565148	226.495	0.307831	1.05104	0	1
1000024	62	1	700.048	511.35	-2.73789	-1.03679	811.702	0.757269	1.53115	0	1
1000024	62	1	700.048	563.717	2.7324	0.999811	869.735	0.779004	1.59485	0	1
-1000024	62	-1	700.048	596.138	-0.335986	1.45721	1349.31	0.887646	2.17143	0	1
1000024	62	1	700.048	131.427	1.74868	-0.391087	141.607	0.198266	1.02025	0	1
-1000024	62	-1	700.048	370.866	-1.60925	0.101035	372.76	0.470001	1.13293	0	1
1000024	62	1	700.048	290.867	-0.200109	0.638349	352.17	0.449403	1.11941	0	0
-1000024	62	-1	700.048	450.971	-0.631425	0.634066	544.703	0.614096	1.26706	0	1
1000024	62	1	700.048	1152.56	2.9053	0.0897407	1157.21	0.85562	1.93198	0	1
-1000024	62	-1	700.048	994.735	-0.280408	1.02576	1565.59	0.912894	2.44979	0	1
-1000024	62	-1	700.048	373.376	0.90431	1.42822	823.478	0.761898	1.54393	0	1
-1000024	62	-1	700.048	384.094	-0.959332	-1.15114	667.955	0.690328	1.38218	0	1
1000024	62	1	700.048	203.16	-2.65407	2.57133	1336.75	0.885874	2.15551	0	0
1000024	62	1	700.048	338.845	-1.66706	1.794	1046.99	0.831297	1.79912	0	1
1000024	62	1	700.048	446.874	-2.46594	-0.535666	512.534	0.590738	1.23937	0	1
1000024	62	1	700.048	464.444	-0.882112	1.46633	1059.88	0.834418	1.81445	0	1
