1000024	62	1	700.048	109.149	2.74254	3.07986	1189.79	0.861881	1.97195	0	0	167.758	98.705	10	1	1	0	0	0	0
-1000024	62	-1	700.048	134.275	-0.234468	-0.0228457	134.31	0.188422	1.01824	0	1	19.8977	103.71	10	1	1	4	52.1775	-0.235915	-0.022381
1000024	62	1	700.048	279.622	0.529638	-2.06105	1115.91	0.847108	1.88175	0	1	313.309	196.55	4	1	1	24	316.724	0.529605	-2.06089
-1000024	62	-1	700.048	249.409	-2.78605	-1.94363	888.797	0.785585	1.61615	0	1	366.324	288.53	4	1	1	25	260.098	-2.78599	-1.94395
-1000024	62	-1	700.048	283.369	0.710112	-1.12127	480.965	0.566274	1.21327	0	0	3.86992	5.6327	13	1	1	0	0	0	0
1000024	62	1	700.048	306.623	2.4554	1.49432	717.605	0.715809	1.43206	0	0	24.1888	23.597	8	1	1	0	0	0	0
-1000024	62	-1	700.048	116.069	-2.46594	2.64297	819.801	0.760465	1.53993	0	1	368.979	315.08	5	1	1	3	10.3527	-2.46109	2.63771
1000024	62	1	700.048	526.916	1.44564	-0.111461	530.192	0.603751	1.25443	0	1	189.758	250.55	2	1	1	18	541.625	1.44553	-0.111233
-1000024	62	-1	700.048	190.837	-1.79581	-0.163677	193.399	0.26629	1.03746	0	1	24.9152	90.186	15	1	1	3	26.3287	-1.79948	-0.164298
1000024	62	1	700.048	109.653	-0.260483	2.2308	516.178	0.593463	1.24245	0	1	167.149	226.69	6	1	1	14	162.555	-0.261119	2.23075
1000024	62	1	700.048	351.32	2.58531	-1.2979	691.172	0.702581	1.40528	0	1	126.357	127.98	1	1	1	10	341.235	2.58524	-1.29765
1000024	62	1	700.048	226.133	-2.27817	-0.0565148	226.495	0.307831	1.05104	0	1	83.1632	257.04	7	1	1	17	236.808	-2.27828	-0.0565971
1000024	62	1	700.048	511.35	-2.73789	-1.03679	811.702	0.757269	1.53115	0	1	65.8442	56.787	9	1	1	8	540.152	-2.73798	-1.0368
1000024	62	1	700.048	563.717	2.7324	0.999811	869.735	0.779004	1.59485	0	1	120.41	96.918	16	1	1	15	579.332	2.73242	0.999885
-1000024	62	-1	700.048	596.138	-0.335986	1.45721	1349.31	0.887646	2.17143	0	1	707.994	367.32	16	1	1	17	600.133	-0.335904	1.45726
1000024	62	1	700.048	131.427	1.74868	-0.391087	141.607	0.198266	1.02025	0	1	11.9919	59.283	11	1	1	3	36.4662	1.74988	-0.391638
