pId,status,charge,mass,pt,phi,eta,p,beta,gamma,less10Gev,foundNearTrack,ctau,ctau*boost,event,run,luminosityBlock,validHits,trackPt,trackPhi,trackEta
1000024,62,1,700.048,378.468,0.732321,0.723266,481.85,0.566982,1.21399,0,1,17.0329,24.746,30,1,1,3,110.914,0.732739,0.723417
1000024,62,1,700.048,415.647,1.80699,-0.331625,438.713,0.531028,1.18014,0,1,32.4907,51.845,29,1,1,6,322.914,1.8070599999999999,-0.33157600000000004
1000024,62,1,700.048,197.232,0.262743,-2.75753,1560.53,0.9124,2.4432,0,0,321.448,144.2,32,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,180.61,-2.83068,-1.4481899999999999,405.50300000000004,0.501233,1.15565,0,1,31.9578,55.17100000000001,32,1,1,3,138.761,-2.83085,-1.4483700000000002
1000024,62,1,700.048,259.468,2.36025,-1.73007,754.8380000000001,0.733216,1.4706,0,0,2.71529,2.5182,31,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,279.44,-0.203184,-1.8349400000000002,897.6110000000001,0.78854,1.62606,0,0,26.17,20.41,31,1,1,0,0.0,0.0,0.0
1000024,62,1,700.048,348.42800000000005,0.06373440000000001,0.468575,387.384,0.48417899999999997,1.1429,0,1,103.28,186.64,23,1,1,16,372.086,0.06380599999999999,0.46846099999999996
1000024,62,1,700.048,822.9860000000001,-0.45756899999999995,-0.00322564,822.99,0.7617079999999999,1.5434,0,0,4.724,4.0183,34,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,339.41,-2.3538900000000003,3.02412,3500.09,0.9805790000000001,5.09881,0,0,227.375,45.477,42,1,1,0,0.0,0.0,0.0
-1000024,62,-1,700.048,149.204,-0.927559,1.49814,350.4,0.44759799999999994,1.11827,0,1,198.168,395.91,36,1,1,18,164.44299999999998,-0.927291,1.49814
1000024,62,1,700.048,379.546,0.141956,1.8357900000000003,1220.16,0.8673799999999999,2.00946,0,1,146.472,84.036,39,1,1,12,589.411,0.141845,1.83592
1000024,62,1,700.048,157.007,1.82665,-2.4986099999999998,961.4910000000001,0.808424,1.6989400000000001,0,1,715.562,520.99,35,1,1,9,198.951,1.8264,-2.49925
1000024,62,1,700.048,148.31,-0.47720200000000007,-1.52205,355.935,0.453225,1.12184,0,1,253.79,499.15,43,1,1,20,143.47,-0.47734399999999994,-1.52196
