,mass,charge,p,pdgId,status,pt,eta,phi,beta,gamma,event,run,luminosityBlock,foundTrack,trackCharge,trackPt,trackPhi,trackEta,validHits,missingInnerHits,trackHits,missingOuterHits,validLayers,hpmissingOuterHits
20,700.048,-1,544.703,-1000024,62,450.971,0.634066,-0.631425,0.614096,1.26706,18,1,1,1,-1,338.79400000000004,-0.6316390000000001,0.634311,8,1,0,2,6,8
21,700.048,-1,667.955,-1000024,62,384.094,-1.15114,-0.959332,0.6903279999999999,1.38218,17,1,1,1,-1,467.673,-0.959252,-1.1510799999999999,9,1,0,2,8,5
22,700.048,1,1059.88,1000024,62,464.444,1.46633,-0.8821120000000001,0.834418,1.81445,19,1,1,1,1,792.904,-0.8823219999999999,1.4663700000000002,10,1,0,2,7,7
23,700.048,1,2439.32,1000024,62,403.17400000000004,2.48635,-0.23369600000000001,0.961201,3.6251599999999997,20,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
24,700.048,-1,823.4780000000001,-1000024,62,373.376,1.42822,0.9043100000000001,0.761898,1.54393,21,1,1,1,-1,183.71,0.9041290000000001,1.4280899999999999,5,1,0,2,4,8
25,700.048,1,1046.99,1000024,62,338.845,1.794,-1.6670599999999998,0.831297,1.79912,22,1,1,1,1,344.31199999999995,-1.66707,1.7940599999999998,12,1,0,2,7,9
26,700.048,1,1336.75,1000024,62,203.16,2.57133,-2.65407,0.8858739999999999,2.15551,24,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
27,700.048,1,512.534,1000024,62,446.874,-0.535666,-2.4659400000000002,0.590738,1.23937,25,1,1,1,1,3579.06,-2.46635,-0.535522,9,1,0,2,7,7
28,700.048,-1,1474.98,-1000024,62,117.916,-3.21797,-0.056039099999999994,0.9034129999999999,2.33224,26,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
29,700.048,1,387.384,1000024,62,348.42800000000005,0.468575,0.06373440000000001,0.48417899999999997,1.1429,23,1,1,1,1,372.086,0.06380599999999999,0.46846099999999996,16,1,0,2,12,2
30,700.048,1,887.331,1000024,62,371.80400000000003,-1.5159,2.8235099999999997,0.785088,1.6145100000000001,27,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
31,700.048,1,607.646,1000024,62,422.971,-0.9034270000000001,2.17279,0.655508,1.32417,28,1,1,1,1,241.93900000000002,2.17294,-0.9033969999999999,6,1,0,2,4,8
32,700.048,1,481.85,1000024,62,378.468,0.723266,0.732321,0.566982,1.21399,30,1,1,1,1,110.914,0.732739,0.723417,3,1,0,2,3,3
33,700.048,1,438.713,1000024,62,415.647,-0.331625,1.80699,0.531028,1.18014,29,1,1,1,1,322.914,1.8070599999999999,-0.33157600000000004,6,1,0,2,5,9
34,700.048,1,1560.53,1000024,62,197.232,-2.75753,0.262743,0.9124,2.4432,32,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
35,700.048,-1,405.50300000000004,-1000024,62,180.61,-1.4481899999999999,-2.83068,0.501233,1.15565,32,1,1,1,-1,138.761,-2.83085,-1.4483700000000002,3,1,0,2,3,10
36,700.048,1,754.8380000000001,1000024,62,259.468,-1.73007,2.36025,0.733216,1.4706,31,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
37,700.048,-1,897.6110000000001,-1000024,62,279.44,-1.8349400000000002,-0.203184,0.78854,1.62606,31,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
38,700.048,1,822.99,1000024,62,822.9860000000001,-0.00322564,-0.45756899999999995,0.7617079999999999,1.5434,34,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
39,700.048,-1,350.4,-1000024,62,149.204,1.49814,-0.927559,0.44759799999999994,1.11827,36,1,1,1,-1,164.44299999999998,-0.927291,1.49814,18,1,0,2,11,3
